Friendship Heights;Tenleytown-AU; 1.5  
Tenleytown-AU;Van Ness-UDC; 1.4  
Van Ness-UDC;Cleveland Park; 0.97  
Cleveland Park;Woodley Park-Zoo Adams Morgan; 1.4  
Woodley Park-Zoo Adams Morgan;Dupont Circle; 1.6  
Dupont Circle;Farragut North;1
Farragut North;Judiciary Sq; 2.2  
Judiciary Sq;Union Station; 1.4  
Union Station;NoMa - Gallaudet U; 1.1  
NoMa - Gallaudet U;Rhode Island Ave; 1.6  
Rhode Island Ave;Brookland-CUA; 1.4  
Brookland-CUA;Fort Totten; 2.1  
Fort Totten;Takoma;3
Fort Totten;Georgia Ave-Petworth; 2.7  
Georgia Ave-Petworth;Columbia Heights; 1.15  
Columbia Heights;U Street/African-Amer Civil War Memorial/Cardozo; 1.45  
U Street/African-Amer Civil War Memorial/Cardozo;Shaw-Howard Univ Station; 0.700  
Shaw-Howard Univ Station;Mt Vernon Sq 7th St-Convention Center;1
Mt Vernon Sq 7th St-Convention Center;Gallery Pl-Chinatown; 0.630  
Gallery Pl-Chinatown;Archives-Navy Memorial-Penn Quarter; 0.640  
Archives-Navy Memorial-Penn Quarter;L'Enfant Plaza; 0.850  
L'Enfant Plaza;Waterfront; 1.2  
Waterfront;Navy Yard - Ballpark; 1.1  
Navy Yard - Ballpark;Anacostia;2
Anacostia;Congress Heights; 3.2  
Franconia-Springfield Station;Van Dorn Street; 5.3  
Van Dorn Street;King St-Old Town Metrorail Station; 6.7  
King St-Old Town Metrorail Station;Braddock Road; 0.9  
Braddock Road;Potomac Yard/Vt Metrorail Station; 2.3  
Potomac Yard/Vt Metrorail Station;Ronald Reagan Washington National Airport; 2.7  
Ronald Reagan Washington National Airport;Crystal City; 1.3  
Crystal City;Pentagon City Metro Station; 1.4  
Pentagon City Metro Station;Pentagon Metro Station; 1.1  
Pentagon Metro Station;Arlington Cemetery; 2.4  
Arlington Cemetery;Rosslyn; 1.4  
Rosslyn;Foggy Bottom-GWU;2
Foggy Bottom-GWU;Farragut West; 0.740  
Farragut West;McPherson Square Metrorail Station; 0.820  
McPherson Square Metrorail Station;Metro Center; 0.5  
Metro Center;Federal Triangle; 0.550  
Federal Triangle;Smithsonian; 0.6  
Smithsonian;Federal Center SW; 1.6  
Federal Center SW;Capitol South; 0.8  
Capitol South;Eastern Market; 0.9  
Eastern Market;Potomac Ave; 1.3  
Potomac Ave;Stadium-Armory; 3.9  
Stadium-Armory;Benning Road;2
Capitol Heights;Addison Road - Seat Pleasant; 1.7  
Addison Road - Seat Pleasant;Morgan Boulevard; 2.6  
Morgan Boulevard;Downtown Largo; 2.2  
Mt Vernon Sq 7th St-Convention Center;Gallery Pl-Chinatown; 0.630  
Gallery Pl-Chinatown;Archives-Navy Memorial-Penn Quarter; 0.640  
Archives-Navy Memorial-Penn Quarter;L'Enfant Plaza; 0.850  
L'Enfant Plaza;Pentagon Metro Station; 3.8  
Pentagon Metro Station;Pentagon City Metro Station; 1.1  
Pentagon City Metro Station;Crystal City; 1.4  
Crystal City;Ronald Reagan Washington National Airport; 1.3  
Ronald Reagan Washington National Airport;Potomac Yard/Vt Metrorail Station; 2.7  
Potomac Yard/Vt Metrorail Station;Braddock Road; 2.3  
Braddock Road;King St-Old Town Metrorail Station; 0.9  
King St-Old Town Metrorail Station;Eisenhower Avenue; 1.4  
Eisenhower Avenue;Huntington; 0.830  
Washington Dulles International Airport Metrorail Station;Innovation Center Metrorail Station; 3.1  
Innovation Center Metrorail Station;Herndon Metrorail Station; 2.7  
Herndon Metrorail Station;Reston Town Center Metrorail Station; 2.3  
Reston Town Center Metrorail Station;Wiehle-Reston East; 1.9  
Wiehle-Reston East;Spring Hill;9
Spring Hill;Greensboro; 1.1  
Greensboro;Tysons ; 1.2  
Tysons ;McLean; 1.3  
McLean;East Falls Church; 7.5  
East Falls Church;Ballston-MU; 4.9  
Ballston-MU;Virginia Square-GMU; 0.7  
Virginia Square-GMU;Clarendon; 0.88  
Clarendon;Court House;1
Court House;Rosslyn; 1.4  
Rosslyn;Foggy Bottom-GWU;2
Foggy Bottom-GWU;Farragut West; 0.740  
Farragut West;McPherson Square Metrorail Station; 0.820  
McPherson Square Metrorail Station;Metro Center; 0.5  
Metro Center;Federal Triangle; 0.550  
Federal Triangle;Smithsonian; 0.6  
Smithsonian;Federal Center SW; 1.6  
Federal Center SW;Capitol South; 0.8  
Capitol South;Eastern Market; 0.9  
Eastern Market;Potomac Ave; 1.3  
Potomac Ave;Stadium-Armory; 3.9  
Stadium-Armory;Benning Road;2
Capitol Heights;Addison Road - Seat Pleasant; 1.7  
Addison Road - Seat Pleasant;Morgan Boulevard; 2.6  
Morgan Boulevard;Downtown Largo; 2.2  
